Time,X,Y,Type
29.274,1148,1020, 0
29.282,1034,1006, 0
29.289,994,999, 0
29.298,921,982, 0
29.305,909,976, 0
29.314,900,970, 0
29.321,891,951, 0
29.329,891,942, 0
29.337,910,911, 0
29.345,926,896, 0
29.353,1001,849, 0
29.361,1043,828, 0
29.369,1093,808, 0
29.377,1230,763, 0
29.385,1298,744, 0
29.393,1462,706, 0
29.401,1536,691, 0
29.409,1614,678, 0
29.417,1785,654, 0
29.425,1856,645, 0
29.433,2005,631, 0
29.441,1977,627, 0
29.449,1968,623, 0
29.457,2017,617, 0
29.465,1944,617, 0
29.473,1973,617, 0
29.481,1928,617, 0
29.489,1927,619, 0
29.497,1926,626, 0
29.505,1919,632, 0
29.513,1913,649, 0
29.521,1907,658, 0
29.529,1881,691, 0
29.537,1867,709, 0
29.545,1854,726, 0
29.553,1819,780, 0
29.561,1809,800, 0
29.569,1804,817, 0
29.577,1800,867, 0
29.585,1804,883, 0
29.593,1839,935, 0
29.601,1864,957, 0
29.609,1963,1012, 0
29.617,1977,1035, 0
29.625,2084,1088, 0
29.633,2007,1099, 0
29.641,2013,1097, 0
29.649,2143,1106, 0
29.657,2025,1085, 0
29.665,2148,1089, 0
29.673,2019,1079, 0
29.681,2014,1078, 0
29.689,2105,1059, 0
29.697,1988,1048, 0
29.705,2038,1018, 0
29.713,1949,1006, 0
29.721,1938,996, 0
29.729,1940,966, 0
29.737,1919,957, 0
29.745,1914,947, 0
29.753,1877,916, 0
29.761,1843,900, 0
29.769,1726,851, 0
29.777,1666,828, 0
29.785,1507,775, 0
29.793,1431,751, 0
29.801,1355,730, 0
29.809,1191,681, 0
29.817,1129,665, 0
29.825,1005,632, 0
29.833,967,621, 0
29.841,940,613, 0
29.849,894,600, 0
29.857,886,598, 0
29.865,886,597, 0
29.905,886,597, 0
29.913,886,599, 0
29.921,886,605, 0
29.929,888,608, 0
29.937,891,618, 0
29.945,893,624, 0
29.953,895,628, 0
29.961,901,644, 0
29.969,904,651, 0
29.977,912,668, 0
29.985,915,675, 0
29.993,919,681, 0
30.001,927,696, 0
30.009,931,701, 0
30.017,939,712, 0
30.025,941,718, 0
30.033,943,722, 0
30.041,944,733, 0
30.049,944,737, 0
30.056,934,751, 0
30.065,925,762, 0
30.072,918,769, 0
30.081,881,784, 0
30.089,857,791, 0
30.097,825,797, 0
30.105,713,811, 0
30.113,659,815, 0
30.12,513,817, 0
30.129,442,816, 0
30.136,372,812, 0
30.145,217,790, 0
30.152,155,778, 0
30.16,45,746, 0
30.168,11,730, 0
30.176,-13,715, 0
30.184,-38,674, 0
30.192,-5,659, 0
30.2,-2,610, 0
30.208,6,593, 0
30.216,16,572, 0
30.224,56,518, 0
30.232,76,499, 0
30.24,147,446, 0
30.248,179,428, 0
30.256,216,408, 0
30.264,314,367, 0
30.272,360,353, 0
30.28,473,326, 0
30.288,523,318, 0
30.296,571,310, 0
30.304,685,304, 0
30.312,728,304, 0
30.32,825,305, 0
30.328,860,310, 0
30.336,930,329, 0
30.344,950,338, 0
30.352,963,346, 0
30.36,990,375, 0
30.368,995,385, 0
30.376,999,414, 0
30.384,999,426, 0
30.392,995,439, 0
30.4,979,481, 0
30.408,968,500, 0
30.416,928,557, 0
30.424,910,579, 0
30.432,890,602, 0
30.44,835,658, 0
30.448,814,677, 0
30.456,759,726, 0
30.464,739,741, 0
30.472,725,753, 0
30.48,686,782, 0
30.488,679,788, 0
30.496,669,797, 0
30.512,669,797, 0
30.52,677,794, 0
30.528,683,791, 0
30.536,713,779, 0
30.544,730,772, 0
30.552,753,763, 0
30.56,829,733, 0
30.568,862,721, 0
30.576,952,685, 0
30.584,986,670, 0
30.592,1019,658, 0
30.6,1090,630, 0
30.608,1108,622, 0
30.616,1141,608, 0
30.624,1147,606, 0
30.64,1147,606, 0
30.648,1144,606, 0
30.656,1140,607, 0
30.664,1118,612, 0
30.672,1107,615, 0
30.68,1066,625, 0
30.688,1044,631, 0
30.696,980,645, 0
30.704,955,653, 0
30.712,930,662, 0
30.72,859,688, 0
30.728,836,699, 0
30.736,813,710, 0
30.744,762,740, 0
30.752,751,748, 0
30.76,730,772, 0
30.768,725,780, 0
30.776,722,797, 0
30.784,722,805, 0
30.792,726,811, 0
30.8,741,831, 0
30.808,750,839, 0
30.816,776,858, 0
30.824,787,865, 0
30.832,798,871, 0
30.84,830,889, 0
30.848,840,895, 0
30.856,869,910, 0
30.864,876,915, 0
30.872,884,920, 0
30.88,895,925, 0
30.888,895,926, 0
30.912,894,926, 0
30.92,889,922, 0
30.928,879,914, 0
30.936,873,909, 0
30.944,866,904, 0
30.952,841,889, 0
30.96,807,873, 0
30.968,794,868, 0
30.976,744,849, 0
30.983,715,841, 0
30.992,679,830, 0
31,569,805, 0
31.008,516,795, 0
31.015,377,774, 0
31.023,313,764, 0
31.032,164,747, 0
31.04,104,741, 0
31.048,48,735, 0
31.055,-69,722, 0
31.064,-36,718, 0
31.071,-24,714, 0
31.079,-39,708, 0
31.087,0,707, 0
31.095,3,705, 0
31.103,27,698, 0
31.112,46,693, 0
31.12,139,675, 0
31.127,192,667, 0
31.135,342,648, 0
31.143,418,642, 0
31.151,607,630, 0
31.159,700,623, 0
31.167,794,621, 0
31.175,996,619, 0
31.183,1083,619, 0
31.191,1164,619, 0
31.199,1331,625, 0
31.207,1391,631, 0
31.215,1501,651, 0
31.223,1531,660, 0
31.231,1549,668, 0
31.239,1572,689, 0
31.247,1573,696, 0
31.255,1562,723, 0
31.263,1550,734, 0
31.271,1531,747, 0
31.279,1453,789, 0
31.287,1411,808, 0
