Time,X,Y,Type
90.698,734,284,0
90.706,735,283,0
90.714,735,282,0
90.722,736,282,0
90.73,736,282,0
90.738,736,281,0
90.754,737,281,0
90.85,737,281,1
90.906,737,281,0
90.914,738,281,0
90.922,740,281,0
90.93,745,281,0
90.938,753,281,0
90.946,760,282,0
90.954,767,282,0
90.962,775,282,0
90.97,784,283,0
90.978,794,285,0
90.986,802,286,0
90.994,810,286,0
91.002,816,287,0
91.01,822,287,0
91.018,824,287,0
91.026,827,288,0
91.034,829,288,0
91.042,829,288,0
91.05,830,288,0
91.058,831,288,0
91.074,831,288,0
91.082,832,288,0
91.09,832,289,0
91.098,833,289,0
91.106,833,289,0
91.114,834,289,0
91.122,834,290,0
91.13,835,290,0
91.29,835,290,2
91.434,835,290,1
91.522,835,290,2
91.57,835,290,0
91.578,836,290,0
91.586,838,290,0
91.594,841,290,0
91.602,845,290,0
91.61,850,290,0
91.618,855,290,0
91.626,863,290,0
91.634,871,290,0
91.642,883,289,0
91.65,896,288,0
91.658,911,286,0
91.666,924,284,0
91.674,933,280,0
91.682,944,278,0
91.69,955,275,0
91.698,966,272,0
91.706,977,270,0
91.714,988,266,0
91.722,996,264,0
91.73,1000,263,0
91.738,1005,262,0
91.746,1007,260,0
91.754,1008,260,0
91.762,1009,259,0
91.77,1010,259,0
91.778,1011,259,0
91.786,1011,259,0
91.794,1011,258,0
91.81,1012,258,0
91.818,1012,258,0
91.826,1013,258,0
91.834,1013,258,0
91.842,1014,258,0
91.858,1014,258,0
91.866,1014,257,0
91.874,1015,257,0
91.882,1015,257,0
91.89,1017,256,0
91.898,1017,256,0
91.906,1018,255,0
91.914,1018,255,0
91.962,1019,255,0
91.97,1019,255,0
91.986,1020,255,0
91.994,1021,255,0
92.002,1022,256,0
92.009,1024,256,0
92.017,1026,257,0
92.025,1030,259,0
92.033,1034,260,0
92.041,1038,261,0
92.049,1041,261,0
92.057,1042,261,0
92.065,1043,262,0
92.073,1043,263,0
92.081,1045,263,0
92.097,1045,263,0
92.105,1045,263,0
92.113,1046,263,0
92.114,1046,263,1
92.121,1047,263,0
92.129,1048,263,0
92.137,1049,263,0
92.145,1052,263,0
92.153,1058,264,0
92.161,1066,265,0
92.169,1073,266,0
92.177,1082,266,0
92.185,1091,266,0
92.193,1099,266,0
92.201,1107,266,0
92.209,1111,266,0
92.217,1114,266,0
92.225,1115,266,0
92.233,1115,266,0
92.241,1116,266,0
92.249,1116,267,0
92.257,1117,267,0
92.273,1117,267,0
92.281,1118,267,0
92.289,1118,267,0
92.305,1119,267,0
92.337,1119,267,0
92.345,1120,267,0
92.353,1121,267,0
92.361,1121,267,0
92.369,1122,267,0
92.377,1122,267,0
92.825,1123,267,0
92.841,1123,267,0
92.953,1123,267,0
92.961,1121,267,0
92.969,1119,266,0
92.977,1115,266,0
92.985,1111,265,0
92.993,1105,264,0
93.001,1097,264,0
93.009,1087,262,0
93.017,1075,259,0
93.025,1054,256,0
93.033,1025,250,0
93.041,991,246,0
93.049,955,241,0
93.057,940,240,0
93.065,915,239,0
93.073,899,239,0
93.081,886,239,0
93.089,876,239,0
93.097,870,239,0
93.105,863,239,0
93.113,858,239,0
93.121,851,240,0
93.129,842,242,0
93.137,833,242,0
93.145,822,243,0
93.153,814,244,0
93.165,806,245,0
93.169,800,247,0
93.177,797,247,0
93.185,794,248,0
93.193,793,249,0
93.201,791,250,0
