#PressureID,Time,Sensor1,Sensor2,Sensor3,Sensor4
148,3.5309219,533,492,545,538
149,3.5470726,533,492,545,539
150,3.5630838,533,492,545,538
151,3.5950787,533,492,545,538
152,3.6111747,533,492,545,539
153,3.6271853,533,492,545,539
154,3.6588029,533,492,544,538
155,3.6768574,533,492,544,537
156,3.6908682,533,492,545,538
157,3.722921,533,491,545,539
158,3.7389334,533,492,544,538
159,3.7549437,533,492,545,538
160,3.770989,533,491,544,538
161,3.8028366,533,491,545,539
162,3.8188382,533,491,545,539
163,3.8348484,533,492,544,538
164,3.8669976,533,491,545,539
165,3.8830076,533,491,544,539
166,3.8989693,533,492,545,538
167,3.9307937,533,492,545,537
168,3.9468045,533,492,545,538
169,3.9627551,533,492,544,539
170,3.9787844,533,491,544,538
171,4.0106501,533,492,545,538
172,4.0265559,533,492,545,539
173,4.0426628,533,492,545,539
174,4.0746713,533,492,545,539
175,4.0906855,534,492,545,538
176,4.1066252,534,492,545,539
177,4.1387152,533,492,545,540
178,4.1542796,533,492,545,539
179,4.1703457,534,492,545,538
180,4.186356,533,492,545,539
181,4.218529,533,492,545,540
182,4.2346574,534,492,545,539
183,4.2505188,533,492,545,538
184,4.2824374,534,492,545,539
185,4.2982572,533,492,545,540
186,4.3144033,533,492,545,539
187,4.3463158,533,492,545,538
188,4.3622165,533,492,545,538
189,4.3782362,533,492,545,539
190,4.3942471,533,492,545,539
191,4.4262661,534,492,545,538
192,4.4422139,533,492,545,539
193,4.4582242,533,492,545,540
194,4.490291,533,492,545,539
195,4.5064099,534,492,545,538
196,4.5222995,533,492,545,539
197,4.5540846,533,491,545,540
198,4.5700928,534,492,545,539
199,4.5857248,533,492,545,538
200,4.6177472,534,492,545,539
201,4.6342577,533,491,545,540
202,4.6502686,533,492,545,539
203,4.6657799,534,492,545,538
204,4.6978014,533,491,545,539
205,4.7138186,534,491,545,540
206,4.7298235,534,492,545,539
207,4.7618458,534,492,545,538
208,4.777857,533,492,545,539
