Time,Sensor1,Sensor2,Sensor3,Sensor4
12.588,4,0,136,77,
12.62,0,0,145,82,
12.625,0,0,153,97,
12.632,0,0,159,107,
12.642,0,0,161,115,
12.65,0,0,166,125,
12.684,0,0,166,132,
12.686,0,0,170,139,
12.72,0,0,173,142,
12.722,0,0,177,145,
12.723,0,0,181,147,
12.735,0,0,188,146,
12.771,0,0,194,142,
12.772,0,0,196,136,
12.774,0,0,195,130,
12.81,0,0,195,127,
12.812,0,0,188,123,
12.815,0,0,183,118,
12.818,0,0,180,113,
12.851,0,0,178,113,
12.855,0,0,173,104,
12.858,0,0,163,96,
12.899,0,0,144,92,
12.901,0,0,131,92,
12.902,0,0,113,83,
12.904,0,0,92,81,
12.936,0,0,71,76,
12.938,0,0,60,70,
12.941,0,0,49,66,
12.948,0,0,43,59,
12.956,0,0,41,53,
12.991,0,0,34,52,
12.993,0,0,26,51,
12.994,0,0,22,52,
12.997,0,0,23,51,
13.031,0,0,26,48,
13.033,0,0,22,46,
13.037,0,0,22,43,
13.071,0,0,21,40,
13.072,0,0,19,41,
13.073,0,0,16,39,
13.074,0,0,17,39,
13.077,0,0,22,39,
13.111,0,0,28,39,
13.113,0,0,34,39,
13.114,0,0,43,41,
13.148,0,0,52,41,
13.15,0,0,60,40,
13.151,2,0,69,45,
13.183,10,0,81,48,
13.185,24,0,98,54,
13.188,38,0,121,66,
13.193,53,0,132,79,
13.227,58,0,129,88,
13.229,64,0,115,88,
13.231,70,0,103,82,
13.27,72,0,102,81,
13.271,76,0,109,86,
13.276,83,0,108,90,
13.31,84,0,109,96,
13.311,83,0,108,97,
13.314,84,0,107,100,
13.35,83,0,105,99,
13.352,84,0,100,100,
13.356,86,0,104,100,
13.358,87,0,120,100,
13.39,77,0,148,102,
13.392,68,0,180,102,
13.427,68,0,197,103,
13.429,64,0,202,100,
13.432,55,0,180,86,
13.465,44,0,173,69,
13.469,31,0,161,64,
13.471,22,0,140,54,
13.504,12,0,123,40,
13.507,8,0,109,40,
13.509,6,0,105,41,
13.514,0,0,96,49,
13.523,0,0,82,55,
13.557,0,0,64,62,
13.562,0,0,46,67,
13.562,0,0,39,68,
13.566,0,0,41,72,
13.599,1,0,42,73,
13.6,0,0,41,72,
13.605,0,0,43,73,
13.616,0,0,45,74,
13.618,0,0,47,77,
13.671,0,0,49,82,
13.672,0,0,55,84,
13.674,0,0,63,86,
13.675,4,0,76,85,
13.681,17,0,106,82,
13.714,27,0,136,80,
13.718,27,0,172,82,
13.722,23,0,189,85,
13.755,22,0,188,81,
13.758,16,0,187,75,
13.759,13,0,184,74,
13.763,14,0,177,74,
13.798,29,0,178,75,
13.8,81,0,180,77,
13.812,186,0,188,84,
13.815,291,0,188,87,
13.851,384,0,187,84,
13.853,435,0,191,86,
13.86,444,0,199,86,
13.897,386,0,205,83,
13.899,266,0,200,81,
13.933,160,0,174,76,
13.935,64,0,164,73,
13.938,1,0,140,69,
13.971,0,0,126,71,
13.973,0,0,115,71,
13.975,0,0,106,69,
13.977,0,0,102,69,
14.011,0,0,94,69,
14.016,0,0,85,69,
14.017,0,0,82,69,
14.019,0,0,80,73,
14.053,0,0,73,74,
14.055,0,0,69,75,
14.058,0,0,70,75,
14.059,0,0,70,77,
14.094,0,0,69,80,
14.097,21,0,67,82,
14.097,36,0,67,83,
14.132,47,0,67,83,
14.135,52,0,62,84,
14.135,56,0,59,84,
14.144,59,0,58,85,
14.185,61,0,58,85,
14.186,61,0,56,84,
14.188,61,0,49,83,
14.222,61,0,44,81,
14.223,61,0,43,81,
14.225,60,0,44,82,
14.225,57,0,42,82,
