#KeystrokeID,Time,IsKeyDown,Key
432,494.623,0,KEY_G
433,494.671,1,KEY_G
434,494.727,0,KEY_I
435,494.807,1,KEY_I
436,494.863,0,KEY_N
437,494.959,1,KEY_N
438,494.96,0,KEY_G
439,495.047,1,KEY_G
440,495.071,0,SPACE
441,495.215,1,SPACE
442,497.863,0,KEY_H
443,497.903,1,KEY_H
444,497.991,0,KEY_E
445,498.127,0,KEY_M
446,498.159,1,KEY_E
447,498.279,0,SPACE
448,498.343,1,KEY_M
449,498.455,1,SPACE
450,499.071,0,BACK
451,499.135,1,BACK
452,499.231,0,BACK
453,499.295,1,BACK
454,499.383,0,BACK
455,499.447,1,BACK
456,499.903,0,BACK
457,499.999,1,BACK
458,500.167,0,KEY_T
459,500.231,1,KEY_T
460,500.343,0,KEY_H
461,500.359,1,KEY_H
462,500.447,0,KEY_E
463,500.575,1,KEY_E
464,500.583,0,KEY_M
465,500.703,0,SPACE
466,500.719,1,KEY_M
467,500.855,1,SPACE
468,505.423,0,KEY_O
469,505.559,0,SPACE
470,505.655,1,KEY_O
471,505.735,1,SPACE
472,506.559,0,KEY_C
473,506.687,1,KEY_C
474,506.688,0,KEY_O
475,506.799,0,KEY_M
476,506.871,1,KEY_O
477,506.895,1,KEY_M
478,507.111,0,KEY_P
479,507.215,1,KEY_P
480,508.327,0,KEY_E
481,508.463,1,KEY_E
482,510.023,0,KEY_T
483,510.079,0,KEY_E
484,510.111,1,KEY_T
485,510.287,1,KEY_E
486,512.071,0,BACK
487,512.571,0,BACK
488,512.604,0,BACK
489,512.637,0,BACK
490,512.67,0,BACK
491,512.703,0,BACK
492,512.736,0,BACK
493,512.769,0,BACK
494,512.802,0,BACK
495,512.823,1,BACK
496,514.007,0,KEY_O
497,514.119,0,SPACE
498,514.199,1,KEY_O
499,514.279,1,SPACE
500,514.335,0,KEY_M
501,514.423,1,KEY_M
502,514.879,0,BACK
503,514.951,1,BACK
504,515.023,0,BACK
505,515.119,1,BACK
506,515.191,0,BACK
507,515.279,1,BACK
508,515.855,0,KEY_T
509,515.951,1,KEY_T
510,515.967,0,KEY_O
511,516.063,0,SPACE
512,516.143,1,KEY_O
513,516.215,1,SPACE
514,516.255,0,KEY_M
515,516.343,1,KEY_M
516,516.383,0,KEY_A
517,516.551,1,KEY_A
518,516.553,0,KEY_I
519,516.623,0,KEY_N
520,516.751,1,KEY_I
521,516.753,1,KEY_N
